camNum	frameNum	sysClock	buffer
0	118	3876	1
1	118	3884	1
0	119	3909	1
1	119	3916	1
0	120	3942	1
1	120	3947	1
0	121	3976	1
1	121	3980	1
0	122	4009	1
1	122	4011	1
1	123	4044	1
0	123	4043	1
0	124	4076	1
1	124	4076	1
0	125	4109	1
1	125	4124	1
0	126	4143	1
1	126	4156	1
0	127	4176	1
1	127	4188	1
0	128	4209	1
1	128	4220	1
0	129	4243	1
1	129	4252	1
0	130	4276	1
1	130	4284	1
0	131	4310	1
1	131	4316	1
0	132	4343	1
1	132	4348	1
0	133	4376	1
1	133	4380	1
0	134	4409	1
1	134	4412	1
1	135	4444	1
0	135	4443	1
0	136	4476	1
1	136	4476	1
0	137	4510	1
1	137	4524	1
0	138	4543	1
1	138	4556	1
0	139	4576	1
1	139	4588	1
0	140	4610	1
1	140	4620	1
0	141	4643	1
1	141	4652	1
0	142	4676	1
1	142	4684	1
0	143	4710	1
1	143	4716	1
0	144	4743	1
1	144	4748	1
0	145	4776	1
1	145	4779	1
0	146	4810	1
1	146	4812	1
1	147	4844	1
0	147	4843	1
0	148	4876	1
1	148	4875	1
0	149	4910	1
1	149	4924	1
0	150	4943	1
1	150	4956	1
0	151	4976	1
1	151	4988	1
0	152	5010	1
1	152	5020	1
0	153	5043	1
1	153	5054	1
0	154	5077	1
1	154	5087	1
0	155	5111	1
1	155	5116	1
0	156	5143	1
1	156	5148	1
0	157	5177	1
1	157	5180	1
0	158	5210	1
1	158	5212	1
1	159	5244	1
0	159	5243	1
0	160	5277	1
1	160	5276	1
0	161	5310	1
1	161	5324	1
0	162	5344	1
1	162	5356	1
0	163	5377	1
1	163	5388	1
0	164	5410	1
1	164	5420	1
0	165	5443	1
1	165	5452	1
0	166	5477	1
1	166	5484	1
0	167	5510	1
1	167	5516	1
0	168	5543	1
1	168	5548	1
0	169	5577	1
1	169	5580	1
1	170	5612	1
0	170	5610	1
1	171	5644	1
0	171	5644	1
0	172	5678	1
1	172	5676	1
0	173	5710	1
1	173	5724	1
0	174	5744	1
1	174	5756	1
0	175	5777	1
1	175	5788	1
0	176	5810	1
1	176	5820	1
0	177	5844	1
1	177	5852	1
0	178	5877	1
1	178	5884	1
0	179	5910	1
1	179	5916	1
0	180	5944	1
1	180	5948	1
0	181	5977	1
1	181	5980	1
1	182	6012	1
0	182	6010	1
1	183	6044	1
0	183	6044	1
0	184	6077	1
1	184	6076	1
0	185	6110	1
1	185	6124	1
0	186	6144	1
1	186	6156	1
0	187	6177	1
1	187	6188	1
0	188	6211	1
1	188	6220	1
0	189	6244	1
1	189	6252	1
0	190	6277	1
1	190	6284	1
0	191	6310	1
1	191	6316	4
0	192	6344	2
1	192	6348	3
0	193	6456	1
1	193	6380	2
1	194	6415	1
1	195	6444	1
0	194	6457	1
0	195	6477	1
1	196	6476	1
0	196	6511	1
1	197	6524	1
0	197	6544	1
1	198	6556	1
0	198	6577	1
1	199	6588	1
0	199	6611	1
1	200	6620	1
0	200	6644	1
1	201	6652	1
0	201	6677	1
1	202	6684	1
0	202	6711	1
1	203	6716	1
0	203	6744	1
1	204	6748	1
0	204	6778	1
1	205	6780	1
1	206	6812	1
0	205	6811	1
0	206	6844	1
1	207	6844	1
0	207	6878	1
1	208	6892	1
0	208	6911	1
1	209	6924	1
0	209	6944	1
1	210	6956	1
0	210	6978	1
1	211	6988	1
0	211	7011	1
1	212	7019	1
0	212	7044	1
1	213	7052	1
0	213	7078	1
1	214	7084	1
0	214	7111	1
1	215	7116	1
0	215	7144	1
1	216	7147	1
0	216	7178	1
1	217	7180	1
1	218	7212	1
0	217	7212	1
0	218	7244	1
1	219	7244	1
0	219	7278	1
1	220	7292	1
0	220	7311	1
1	221	7324	1
0	221	7344	1
1	222	7355	1
0	222	7378	1
1	223	7388	1
0	223	7411	1
1	224	7420	1
0	224	7445	1
1	225	7452	1
0	225	7478	1
1	226	7484	1
0	226	7511	1
1	227	7516	1
0	227	7545	1
1	228	7548	1
0	228	7578	1
1	229	7580	1
1	230	7612	1
0	229	7611	1
0	230	7645	1
1	231	7644	1
0	231	7678	1
1	232	7692	1
0	232	7711	1
1	233	7724	1
0	233	7745	1
1	234	7756	1
0	234	7778	1
1	235	7788	1
0	235	7811	1
1	236	7820	1
0	236	7845	1
1	237	7852	1
0	237	7878	1
1	238	7884	1
0	238	7911	1
1	239	7916	1
0	239	7945	1
1	240	7948	1
1	241	7980	1
0	240	7978	1
1	242	8012	1
0	241	8012	1
0	242	8045	1
1	243	8044	1
0	243	8078	1
1	244	8092	1
0	244	8112	1
1	245	8124	1
0	245	8145	1
1	246	8156	1
0	246	8178	1
1	247	8188	1
0	247	8212	1
1	248	8220	1
0	248	8245	1
1	249	8252	1
0	249	8278	1
1	250	8284	1
0	250	8312	1
1	251	8316	1
0	251	8346	1
1	252	8348	1
1	253	8380	1
0	252	8378	1
1	254	8412	1
0	253	8412	1
0	254	8445	1
1	255	8444	1
0	255	8479	1
1	256	8492	1
0	256	8512	1
1	257	8524	1
0	257	8545	1
1	258	8555	1
0	258	8578	1
1	259	8587	1
0	259	8612	1
1	260	8620	1
0	260	8645	1
1	261	8651	1
0	261	8678	1
1	262	8683	1
0	262	8712	1
1	263	8715	1
0	263	8745	1
1	264	8747	1
1	265	8779	1
0	264	8778	1
1	266	8812	1
0	265	8812	1
0	266	8845	1
1	267	8844	1
0	267	8878	1
1	268	8891	1
0	268	8912	1
